dataset/algo,abalone,anneal,arrhythmia,audiology,autos,balance-scale,baseball,braziltourism,breast-cancer,breast-w,bridges_version1,bridges_version2,car,cmc,colic,colic.ORIG,credit-a,credit-g,cylinder-bands,dermatology,diabetes,ecoli,glass,haberman,hayes-roth_test,hayes-roth_train,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,liver-disorders,lung-cancer,lymph,molecular-biology_promoters,monks-problems-1_test,monks-problems-1_train,monks-problems-2_test,monks-problems-2_train,monks-problems-3_test,monks-problems-3_train,mushroom,nursery,optdigits,page-blocks,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,shuttle-landing-control,sick,solar-flare_1,solar-flare_2,sonar,soybean,spambase,spectf_test,spectf_train,spect_test,spect_train,splice,tae,tic-tac-toe,vehicle,vote,vowel,waveform-5000,yeast,zoo
IBk,0.205411,0.991091,0.530974,0.780974,0.756098,0.868,0.919403,0.660194,0.732517,0.949928,0.633333,0.614285,0.934027,0.442634,0.802989,0.641304,0.819565,0.717,0.743519,0.941256,0.701172,0.802083,0.707943,0.673203,0.535714,0.715909,0.764026,0.773809,0.744444,0.812903,0.914236,0.870371,0.956666,0.962296,0.730539,0.815789,0.9598,0.627537,0.375,0.831081,0.820755,0.99537,0.766129,0.592593,0.56213,0.988426,0.795082,1,0.984105,0.986388,0.960442,0.99386,0.655555,0.39233,0.904821,0.972078,0.6,0.961957,0.681115,0.728893,0.865385,0.912152,0.908389,0.717472,0.675,0.871658,0.65,0.745141,0.612583,0.990083,0.695035,0.925288,0.992929,0.7371,0.522911,0.960396
JRip,0.188493,0.981525,0.704646,0.737932,0.751441,0.8048,0.929567,0.751156,0.712969,0.955846,0.609091,0.629004,0.869134,0.530087,0.847208,0.83004,0.851976,0.719773,0.675842,0.883383,0.749349,0.819264,0.661215,0.730541,0.503247,0.846763,0.80273,0.784941,0.784007,0.795015,0.993215,0.89394,0.94,0.991879,0.422239,0.796651,0.861616,0.660343,0.498512,0.759828,0.769991,0.902778,0.852535,0.661927,0.544379,0.987875,0.851678,1,0.968554,0.910725,0.96952,0.962175,0.711111,0.388819,0.862986,0.95368,0.6,0.983551,0.71458,0.697802,0.739729,0.91914,0.926656,0.782971,0.70119,0.869621,0.723214,0.944728,0.434979,0.974995,0.680099,0.957576,0.709826,0.7926,0.582692,0.858236
LMT,0.266699,0.993875,0.719027,0.85177,0.765854,0.8936,0.941045,0.764563,0.748252,0.960658,0.690477,0.671429,0.986689,0.536999,0.836957,0.809783,0.847102,0.7535,0.784259,0.97541,0.776042,0.870536,0.682243,0.738562,0.517857,0.80303,0.825082,0.838436,0.838888,0.835484,0.99536,0.92735,0.95,0.997028,0.422239,0.903509,0.9233,0.67971,0.5625,0.827702,0.90566,0.951389,0.75,0.673611,0.633136,0.997685,0.92623,0.999877,0.988811,0.973487,0.967843,0.985853,0.705555,0.486726,0.873872,0.963636,0.466667,0.990588,0.696594,0.751407,0.762019,0.93631,0.934579,0.817844,0.775,0.909091,0.7625,0.766595,0.549668,0.981733,0.833333,0.964368,0.943435,0.8713,0.58558,0.915841
Logistic,0.233179,0.991091,0.538717,0.792035,0.702439,0.9,0.940298,0.754854,0.685315,0.96495,0.604762,0.580952,0.932581,0.510183,0.804348,0.699728,0.847101,0.7495,0.791667,0.967213,0.774089,0.85863,0.619159,0.74183,0.535714,0.534091,0.839934,0.843538,0.837037,0.832258,0.967524,0.88604,0.966666,0.97622,0.406651,0.921053,0.77345,0.685507,0.4375,0.746622,0.867925,0.75,0.75,0.659722,0.556213,1,0.918033,1,0.925115,0.941815,0.964736,0.955467,0.611111,0.439528,0.780241,0.957143,0.4,0.967656,0.718266,0.749531,0.740384,0.931918,0.924691,0.802974,0.65,0.86631,0.625,0.905329,0.529801,0.983299,0.798463,0.954023,0.811111,0.8675,0.586253,0.866336
MultiClassClassifier,0.264783,0.995394,0.513375,0.752011,0.699557,0.853091,0.937313,0.75,0.688493,0.9656,0.598268,0.540692,0.899437,0.508301,0.809289,0.691082,0.851713,0.751773,0.787458,0.942996,0.772313,0.860254,0.654418,0.74183,0.467533,0.529959,0.844435,0.84663,0.837037,0.826393,0.953498,0.88863,0.960303,0.975652,0.362062,0.929028,0.723398,0.681554,0.4375,0.801597,0.867925,0.75,0.75,0.659722,0.556213,1,0.918033,1,0.916393,0.948577,0.956904,0.935214,0.633838,0.433628,0.834681,0.922176,0.4,0.967656,0.712074,0.751407,0.731643,0.909291,0.924196,0.802974,0.65,0.86631,0.625,0.915745,0.555087,0.983299,0.793896,0.960293,0.65404,0.865364,0.584232,0.90144
MultiScheme,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101423,0.89768,0.103712,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.1347,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
NaiveBayes,0.238449,0.865813,0.620575,0.727876,0.565854,0.9048,0.834328,0.706311,0.718531,0.959943,0.690476,0.666667,0.855902,0.504752,0.782609,0.668478,0.778261,0.748,0.727777,0.974044,0.764323,0.854167,0.476636,0.756536,0.607143,0.742424,0.834984,0.841837,0.842593,0.83871,0.953208,0.827635,0.956666,0.878754,0.360137,0.912281,0.640975,0.552174,0.625,0.827702,0.90566,0.75,0.774194,0.664352,0.568047,0.972222,0.934426,0.958087,0.903395,0.914057,0.90444,0.857624,0.666667,0.501475,0.795645,0.802164,0.733333,0.927094,0.656347,0.743902,0.682692,0.927526,0.794501,0.665428,0.7625,0.834225,0.7375,0.953762,0.543046,0.692588,0.451537,0.901149,0.627273,0.7997,0.576146,0.950495
NBTree,0.248983,0.983853,0.6427,0.792036,0.792683,0.7696,0.91791,0.764563,0.713286,0.964235,0.647619,0.657143,0.945313,0.505092,0.819293,0.709239,0.857247,0.7475,0.732408,0.965847,0.746745,0.813989,0.719626,0.72549,0.5,0.67803,0.808581,0.814626,0.798149,0.816129,0.996819,0.905983,0.93,0.972466,0.422239,0.894737,0.86995,0.650725,0.625,0.810811,0.896226,1,0.91129,0.655093,0.60355,1,0.934426,1,0.974692,0.894217,0.967842,0.952784,0.666667,0.460177,0.81944,0.953463,0.733333,0.978924,0.705882,0.745779,0.774038,0.915813,0.929907,0.769517,0.6875,0.86631,0.675,0.953762,0.572848,0.847077,0.716903,0.942529,0.934343,0.7958,0.568059,0.955445
NNge,0.233179,0.990535,0.667035,0.738938,0.77561,0.8128,0.933582,0.711165,0.664336,0.963519,0.452381,0.433333,0.949652,0.458927,0.796196,0.6875,0.832608,0.7,0.725926,0.957651,0.735677,0.854167,0.703271,0.656863,0.428571,0.791667,0.813531,0.797619,0.768519,0.848387,0.986877,0.905983,0.963333,0.984981,0.422239,0.815789,0.9143,0.649275,0.625,0.760135,0.59434,1,0.879032,0.55787,0.526627,1,0.877049,1,0.962692,0.933007,0.961448,0.971298,0.566667,0.40708,0.780241,0.961688,0.4,0.966861,0.687307,0.712008,0.689904,0.919473,0.92219,0.817844,0.675,0.887701,0.6875,0.47837,0.629139,0.871607,0.619976,0.952874,0.880808,0.7786,0.542453,0.955445
OrdinalClassClassifier,0.252813,0.982183,0.530973,0.761062,0.673171,0.7576,0.929105,0.754854,0.743007,0.941345,0.633333,0.580952,0.925347,0.493211,0.851902,0.663043,0.858696,0.7135,0.577778,0.879781,0.739583,0.806547,0.672897,0.710784,0.642857,0.791667,0.762376,0.807823,0.755556,0.816129,0.994698,0.905983,0.943334,0.994055,0.572141,0.77193,0.768725,0.684058,0.53125,0.773649,0.811321,0.965278,0.822581,0.671296,0.56213,1,0.934426,1,0.970834,0.839947,0.967202,0.931951,0.7,0.321534,0.833748,0.952165,0.6,0.988468,0.733746,0.743902,0.71875,0.885798,0.931211,0.747212,0.7375,0.919786,0.6875,0.928997,0.513245,0.848643,0.684988,0.964367,0.767172,0.7242,0.562668,0.930693
PART,0.214269,0.982234,0.640487,0.783991,0.773614,0.8344,0.926119,0.742718,0.712969,0.938549,0.599567,0.628138,0.957545,0.49173,0.847332,0.663043,0.853228,0.702409,0.585353,0.945728,0.751953,0.835228,0.682668,0.696375,0.60552,0.759986,0.79838,0.809833,0.734175,0.843988,0.994216,0.916861,0.940909,0.99067,0.540883,0.787879,0.887539,0.637418,0.5625,0.764435,0.830189,1,0.983871,0.715278,0.627219,1,0.893443,1,0.991992,0.925688,0.970002,0.968204,0.612626,0.40708,0.865163,0.962594,0.6,0.986286,0.696594,0.73546,0.800918,0.918941,0.935805,0.769517,0.7125,0.84492,0.7,0.927373,0.555388,0.943111,0.715775,0.947783,0.768412,0.774309,0.555256,0.921242
RacedIncrementalLogitBoost,0.239372,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.987034,0.641026,0.333333,0.870264,0.308438,0.649123,0.709109,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.991965,0.902041,0.87242,0.955609,0.896921,0.711111,0.247788,0.83437,0.871488,0.6,0.974477,0.272446,0.310507,0.533654,0.1347,0.89447,0.795539,0.5,0.919786,0.5,0.894357,0.344371,0.653445,0.256501,0.613793,0.090909,0.812536,0.311995,0.405941
RandomCommittee,0.227561,0.992053,0.607703,0.76247,0.800887,0.805091,0.931841,0.731392,0.692944,0.963259,0.601299,0.597403,0.903093,0.489323,0.822505,0.705657,0.837747,0.729909,0.785269,0.949329,0.728871,0.832522,0.757859,0.686275,0.50974,0.797865,0.79673,0.814935,0.792761,0.831965,0.977598,0.924502,0.933636,0.962908,0.642664,0.863636,0.920927,0.681159,0.488095,0.833845,0.714286,0.942571,0.788403,0.474757,0.544942,0.989087,0.863778,1,0.957699,0.943481,0.970741,0.984766,0.64798,0.404832,0.898912,0.964443,0.526984,0.974429,0.675365,0.727298,0.791084,0.906229,0.94599,0.802797,0.747619,0.915966,0.659524,0.766595,0.65593,0.861881,0.733129,0.945559,0.94495,0.769536,0.575696,0.951395
RandomTree,0.192597,0.965226,0.445595,0.619469,0.712417,0.779418,0.906681,0.676722,0.670057,0.942905,0.517316,0.514286,0.734086,0.452632,0.741354,0.684783,0.738538,0.658364,0.669192,0.783035,0.663293,0.751488,0.640187,0.673203,0.571429,0.763086,0.718122,0.765615,0.704882,0.769208,0.953907,0.867522,0.909394,0.877062,0.420267,0.822967,0.751111,0.624374,0.386905,0.714681,0.585804,0.870591,0.707373,0.525683,0.538462,0.855379,0.739266,0.999457,0.764903,0.74869,0.957195,0.91101,0.610606,0.344711,0.822913,0.899902,0.463492,0.956136,0.644553,0.71576,0.665647,0.764542,0.892187,0.743318,0.627381,0.883881,0.6625,0.573782,0.657134,0.721816,0.649635,0.909927,0.730854,0.621573,0.472982,0.79883
RBFNetwork,0.233179,0.940069,0.6072,0.73753,0.66541,0.860145,0.928216,0.739713,0.720756,0.958707,0.581385,0.574459,0.888521,0.496235,0.793231,0.755064,0.796179,0.739273,0.722896,0.965723,0.750237,0.84375,0.676083,0.737819,0.487013,0.668044,0.831833,0.830241,0.828956,0.854992,0.952774,0.91984,0.95606,0.833556,0.422239,0.914673,0.668059,0.652569,0.5,0.80559,0.548518,0.462963,0.469278,0.671296,0.60355,0.519952,0.483216,0.985324,0.921468,0.93291,0.948856,0.952739,0.594444,0.31437,0.837947,0.871901,0.501587,0.958101,0.331269,0.35666,0.734266,0.908492,0.813272,0.795362,0.517262,0.919786,0.674405,0.949573,0.496388,0.702455,0.659091,0.937055,0.853824,0.851127,0.587046,0.945995
REPTree,0.248572,0.980867,0.672768,0.732904,0.615743,0.774909,0.906716,0.764332,0.683249,0.94206,0.419048,0.419048,0.889994,0.523823,0.848567,0.671196,0.847629,0.7235,0.591835,0.907973,0.736624,0.808171,0.656967,0.722519,0.548701,0.82197,0.778428,0.774273,0.769192,0.794721,0.994975,0.894198,0.944242,0.989731,0.544513,0.759171,0.842189,0.645191,0.447917,0.75215,0.484277,0.914903,0.756912,0.660417,0.578473,0.998898,0.91491,0.999843,0.95995,0.888733,0.968457,0.952738,0.706061,0.388819,0.86633,0.953739,0.479365,0.987058,0.712074,0.748218,0.706731,0.853787,0.919227,0.78421,0.691667,0.916221,0.6625,0.525463,0.518964,0.82174,0.709703,0.9558,0.678283,0.766073,0.57406,0.405941
Ridor,0.206368,0.983296,0.673672,0.727876,0.704878,0.7944,0.920149,0.711165,0.702797,0.947783,0.557143,0.542857,0.966435,0.521724,0.839674,0.802989,0.833333,0.7145,0.687037,0.945355,0.748698,0.822917,0.661215,0.718954,0.589285,0.799242,0.778878,0.792517,0.777778,0.764516,0.993505,0.883191,0.943334,0.885013,0.485279,0.77193,0.668059,0.639131,0.4375,0.814189,0.726415,0.75463,0.709677,0.664352,0.573964,0.949074,0.852459,1,0.955864,0.90338,0.966745,0.958879,0.677777,0.371681,0.865785,0.954545,0.6,0.980646,0.674923,0.727017,0.733173,0.895315,0.91654,0.795539,0.7,0.893048,0.6875,0.916615,0.47351,0.924321,0.704492,0.949426,0.764142,0.7806,0.53504,0.935643
SimpleLogistic,0.270529,0.993875,0.723451,0.85177,0.746341,0.8728,0.938806,0.764563,0.748252,0.960658,0.690477,0.671429,0.931423,0.506449,0.822011,0.794837,0.847826,0.7535,0.740741,0.97541,0.776042,0.870536,0.647197,0.735294,0.517857,0.541667,0.826732,0.843538,0.838888,0.83871,0.966596,0.874644,0.95,0.967928,0.40551,0.903509,0.77355,0.676812,0.5625,0.827702,0.90566,0.75,0.725806,0.671296,0.615385,0.997685,0.934426,0.999631,0.926311,0.972242,0.964644,0.954376,0.705555,0.486726,0.780241,0.951948,0.466667,0.966463,0.696594,0.751407,0.754808,0.93631,0.925777,0.817844,0.775,0.909091,0.7625,0.960658,0.536424,0.981733,0.775414,0.965517,0.816667,0.8713,0.589623,0.915841
Stacking,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101423,0.89768,0.103712,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.1347,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
StackingC,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101601,0.89768,0.103716,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.131772,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
VFI,0.134307,0.717706,0.49115,0.504425,0.580488,0.688,0.753731,0.286408,0.664336,0.955651,0.533333,0.533334,0.815972,0.451799,0.782609,0.671196,0.848551,0.7095,0.769444,0.959016,0.632161,0.751489,0.551402,0.53268,0.428571,0.613636,0.79868,0.831632,0.792592,0.845161,0.92325,0.944445,0.963333,0.88204,0.179106,0.842105,0.6114,0.607247,0.46875,0.783784,0.877358,0.75,0.766129,0.5,0.449704,0.972222,0.934426,0.998707,0.733179,0.76806,0.869998,0.780249,0.416667,0.306785,0.704355,0.773376,0.8,0.661585,0.566563,0.686679,0.564904,0.866764,0.689959,0.724907,0.7375,0.786096,0.7625,0.884326,0.546358,0.66858,0.53487,0.91954,0.574243,0.5632,0.508086,0.940594
Vote,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101423,0.89768,0.103712,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.1347,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
ZeroR,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101423,0.89768,0.103712,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.1347,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
Bagging-I-1..25-ConjunctiveRule,0.215503,0.821741,0.549164,0.464602,0.477298,0.76128,0.906716,0.771845,0.703671,0.939735,0.552381,0.571429,0.700231,0.428943,0.813519,0.801026,0.855072,0.7,0.678241,0.513413,0.730613,0.645833,0.559969,0.734205,0.553571,0.526515,0.776992,0.810204,0.774815,0.796774,0.967315,0.843305,0.88,0.660513,0.219481,0.805263,0.12065,0.603478,0.552083,0.75,0.834629,0.75,0.725806,0.671296,0.621302,0.865355,0.859016,0.886755,0.6625,0.303262,0.931299,0.20537,0.711111,0.271386,0.447923,0.553788,0.571428,0.978753,0.671208,0.534709,0.75,0.262567,0.818518,0.795539,0.72,0.919786,0.6625,0.642991,0.468543,0.678706,0.499493,0.955747,0.292424,0.606455,0.40643,0.626237
