iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , test-rmse , train-rmse , 
18 , 1.04856 , 12.2917 , 11.9464 , -1 , 121.931 , 0.692143 , 5 , 12.2917 , 0.740548 , 5 , 11.9464 , -nan , -nan , 5.18153 , 0.185891 , 
19 , 1.0969 , 11.8565 , 12.1843 , -1 , 120.823 , 0.814594 , 5 , 11.8565 , 0.619163 , 5 , 12.1843 , -nan , -nan , 5.18153 , 0.177736 , 
20 , 1.14677 , 11.8052 , 11.9833 , -1 , 119.697 , 0.586985 , 5 , 11.8052 , 0.754655 , 5 , 11.9833 , -nan , -nan , 5.18153 , 0.196221 , 
21 , 1.18047 , 12.0466 , 11.7137 , -1 , 119.653 , 0.598542 , 5 , 12.0466 , 0.8523 , 5 , 11.7137 , -nan , -nan , 5.18153 , 0.20853 , 
22 , 1.22128 , 12.1557 , 11.7985 , -1 , 120.558 , 0.739188 , 5 , 12.1557 , 0.787802 , 5 , 11.7985 , -nan , -nan , 5.18153 , 0.183192 , 
23 , 1.25835 , 12.0212 , 11.9924 , -1 , 120.755 , 0.70273 , 5 , 12.0212 , 0.686905 , 5 , 11.9924 , -nan , -nan , 5.18153 , 0.187206 , 
24 , 1.29291 , 11.8645 , 12.0349 , -1 , 120.369 , 0.730718 , 5 , 11.8645 , 0.871527 , 5 , 12.0349 , -nan , -nan , 5.18153 , 0.210869 , 
25 , 1.35073 , 11.7988 , 11.9719 , -1 , 119.587 , 0.907996 , 5 , 11.7988 , 0.733764 , 5 , 11.9719 , -nan , -nan , 5.18153 , 0.201707 , 
26 , 1.38403 , 11.9291 , 11.8553 , -1 , 119.814 , 0.707812 , 5 , 11.9291 , 0.892027 , 5 , 11.8553 , -nan , -nan , 5.18153 , 0.213334 , 
27 , 1.43581 , 12.0367 , 11.8038 , -1 , 119.97 , 0.778492 , 5 , 12.0367 , 0.767628 , 5 , 11.8038 , -nan , -nan , 5.18153 , 0.193035 , 
28 , 1.48145 , 12.0327 , 11.976 , -1 , 120.629 , 0.892103 , 5 , 12.0327 , 0.58601 , 5 , 11.976 , -nan , -nan , 5.18153 , 0.172912 , 
29 , 1.5119 , 11.8583 , 12.3986 , -1 , 122.379 , 0.674193 , 5 , 11.8583 , 1.09461 , 5 , 12.3986 , -nan , -nan , 5.18153 , 0.23632 , 
30 , 1.58806 , 11.4839 , 12.2698 , -1 , 119.24 , 1.24886 , 5 , 11.4839 , 0.471708 , 5 , 12.2698 , -nan , -nan , 5.18153 , 0.198264 , 
31 , 1.62433 , 11.7013 , 12.0487 , -1 , 119.659 , 0.662232 , 5 , 11.7013 , 0.908907 , 5 , 12.0487 , -nan , -nan , 5.18153 , 0.215343 , 
32 , 1.6545 , 11.8673 , 11.9191 , -1 , 119.724 , 0.755983 , 5 , 11.8673 , 0.791734 , 5 , 11.9191 , -nan , -nan , 5.18153 , 0.200984 , 
